inventory_number,notary
2096,FRANCOIS MEERHOUT
2097,FRANCOIS MEERHOUT
2098A,FRANCOIS MEERHOUT
2098B,FRANCOIS MEERHOUT
2098C,FRANCOIS MEERHOUT
2099,FRANCOIS MEERHOUT
2100,FRANCOIS MEERHOUT
2101A,FRANCOIS MEERHOUT
2101B,FRANCOIS MEERHOUT
2101C,FRANCOIS MEERHOUT
2102A,FRANCOIS MEERHOUT
2102B,FRANCOIS MEERHOUT
2103,FRANCOIS MEERHOUT
2163,ADRIAEN LOCK
2164,ADRIAEN LOCK
2165,ADRIAEN LOCK
2166,ADRIAEN LOCK
2167,ADRIAEN LOCK
2168,ADRIAEN LOCK
2169,ADRIAEN LOCK
2170,ADRIAEN LOCK
2171,ADRIAEN LOCK
2172,ADRIAEN LOCK
2173,ADRIAEN LOCK
2174,ADRIAEN LOCK
2175,ADRIAEN LOCK
2176,ADRIAEN LOCK
2177,ADRIAEN LOCK
2178,ADRIAEN LOCK
2179,ADRIAEN LOCK
2180,ADRIAEN LOCK
2181,ADRIAEN LOCK
2182,ADRIAEN LOCK
2183,ADRIAEN LOCK
2184,ADRIAEN LOCK
2185,ADRIAEN LOCK
2186,ADRIAEN LOCK
2187A,ADRIAEN LOCK
2187B,ADRIAEN LOCK
2188A,ADRIAEN LOCK
2188B,ADRIAEN LOCK
2189A,ADRIAEN LOCK
2189B,ADRIAEN LOCK
2190,ADRIAEN LOCK
2191,ADRIAEN LOCK
2192,ADRIAEN LOCK
2193,ADRIAEN LOCK
2194,ADRIAEN LOCK
2195,ADRIAEN LOCK
2196,ADRIAEN LOCK
2197,ADRIAEN LOCK
